employee_id,area,home_lat,home_lon,pt_minutes,transfers,walk_minutes,modes,first_stop_name,first_stop_lat,first_stop_lon,route_ok,dist_km,car_minutes,car_cost_month_eur,savings_month_eur,time_band,time_ratio,adoption_score,adoption_class
E0001,Norderstedt,53.70499,10.03958,39.0,1.0,31.0,BUS,"Glashütte, Hofweg",53.696740000000005,10.04904,True,2.11,10.1,36.0,-22.0,31–45 min,3.86,0.0,Low
E0002,Rotherbaum/Harvestehude,53.57365,9.968,75.0,3.0,23.0,SUBWAY+BUS,Christuskirche,53.569588,9.962379,True,13.59,32.2,231.0,173.0,> 60 min,2.33,26.3,Low
E0003,Ahrensburg,53.67704,10.22715,66.0,2.0,21.0,BUS,"Ahrensburg, Schulstraße",53.67875300000001,10.235647,True,11.91,29.0,203.0,145.0,> 60 min,2.28,39.6,Low
E0004,Schnelsen,53.63673,9.94327,49.0,2.0,14.0,BUS,Vielohweg (Mitte),53.63859000000001,9.945284,True,8.79,23.0,150.0,92.0,46–60 min,2.13,53.2,Medium
E0005,Billstedt,53.51524,10.08865,100.0,2.0,26.0,BUS+METRO,Moorfleet,53.512596,10.087307999999998,True,19.24,43.1,327.0,269.0,> 60 min,2.32,21.7,Low
E0006,Wedel,53.58832,9.67723,116.0,1.0,37.0,BUS,"Wedel, Markt",53.58432,9.700232999999999,True,26.71,57.5,454.0,396.0,> 60 min,2.02,24.1,Low
E0007,Norderstedt,53.72362,10.01943,42.0,2.0,16.0,BUS,"Harksheide, Falkenbergstraße (Nord)",53.72362,10.016862,True,4.51,14.7,77.0,19.0,31–45 min,2.86,19.0,Low
E0008,Norderstedt,53.71355,9.99538,39.0,1.0,20.0,BUS,"Friedrichsgabe, Langenharmer Weg",53.709507,9.999165,True,4.53,14.7,77.0,19.0,31–45 min,2.65,29.9,Low
E0009,Winterhude,53.60251,10.01368,48.0,1.0,16.0,BUS,U Alsterdorf,53.607162,10.012442000000002,True,9.6,24.5,163.0,105.0,46–60 min,1.96,65.8,High
E0010,Uhlenhorst,53.57416,10.01888,74.0,2.0,14.0,BUS,Beethovenstraße,53.57481,10.021695,True,12.63,30.4,215.0,157.0,> 60 min,2.43,37.4,Low
E0011,Altona-Altstadt,53.54962,9.93671,87.0,4.0,21.0,BUS+SUBWAY,Bf. Altona,53.55178,9.933858,True,16.87,38.5,287.0,229.0,> 60 min,2.26,20.0,Low
E0012,Elmshorn,53.75252,9.65056,85.0,3.0,27.0,REGIONAL_RAIL+BUS,Elmshorn,53.754025,9.659408,True,27.1,58.3,461.0,403.0,> 60 min,1.46,52.2,Medium
E0013,Bergedorf,53.4936,10.2312,110.0,3.0,27.0,BUS+METRO,Schlebuschweg,53.49245500000001,10.224740999999998,True,24.66,53.6,419.0,361.0,> 60 min,2.05,21.1,Low
